id,Name,Minimum players,Maximum players,Average game time,Year released,Mechanics,Category,Designer,More info URL
1083,Backgammon,2,2,30,-3000,"Betting/Wagering, Roll / Spin and Move","Abstract Strategy, Dice",(Uncredited),https://boardgamegeek.com/boardgame/2397/backgammon
113,Go,2,2,180,-2200,Area Enclosure,Abstract Strategy,(Uncredited),https://boardgamegeek.com/boardgame/188/go
1171,Carrom,2,4,60,0,Partnerships,Action / Dexterity,(Uncredited),https://boardgamegeek.com/boardgame/5072/carrom
2165,Unpublished Prototype,0,0,0,0,none,none,(Uncredited),https://boardgamegeek.com/boardgame/18291/unpublished-prototype
2476,Outside the Scope of BGG,0,0,0,0,none,none,(Uncredited),https://boardgamegeek.com/boardgame/23953/outside-scope-bgg
2524,Traditional Card Games,0,0,0,0,none,"Card Game, Game System",(Uncredited),https://boardgamegeek.com/boardgame/21804/traditional-card-games
2638,Dobble Free Demo Version,2,8,5,0,Pattern Recognition,"Children's Game, Party Game, Real-time",Denis Blanchot,https://boardgamegeek.com/boardgame/125048/dobble-free-demo-version
3087,Riichi Mahjong,4,4,120,0,"Betting/Wagering, Hand Management, Set Collection",Abstract Strategy,(Uncredited),https://boardgamegeek.com/boardgame/108018/riichi-mahjong
3099,Celebrities,4,30,90,0,"Acting, Memory, Paper-and-Pencil, Partnerships","Humor, Party Game",(Uncredited),https://boardgamegeek.com/boardgame/22303/celebrities
3355,Mini Kubb,2,12,15,0,none,Action / Dexterity,none,https://boardgamegeek.com/boardgame/130006/mini-kubb
3640,Miscellaneous Game Accessory,0,0,0,0,none,none,(Uncredited),https://boardgamegeek.com/boardgame/5985/miscellaneous-game-accessory
3908,Koi-Koi,2,4,30,0,"Hand Management, Set Collection",Card Game,(Uncredited),https://boardgamegeek.com/boardgame/11865/koi-koi
4456,Big Two,2,4,30,0,Hand Management,Card Game,(Uncredited),https://boardgamegeek.com/boardgame/13597/big-two
2351,Hnefatafl,2,2,20,400,Grid Movement,Abstract Strategy,(Uncredited),https://boardgamegeek.com/boardgame/2932/hnefatafl
4778,Oware,2,2,20,550,Point to Point Movement,Abstract Strategy,(Uncredited),https://boardgamegeek.com/boardgame/28302/oware
3445,Kalah,2,2,10,700,"Pick-up and Deliver, Point to Point Movement",Abstract Strategy,William Julius Champion Jr.,https://boardgamegeek.com/boardgame/2448/kalah
989,Xiangqi,2,2,60,762,Grid Movement,Abstract Strategy,(Uncredited),https://boardgamegeek.com/boardgame/2393/xiangqi
1080,Shogi,2,2,60,1000,Grid Movement,Abstract Strategy,(Uncredited),https://boardgamegeek.com/boardgame/2065/shogi
4500,Tarock,2,5,30,1425,"Hand Management, Trick-taking",Card Game,(Uncredited),https://boardgamegeek.com/boardgame/2780/tarock
2707,Tarot,3,5,30,1430,"Auction/Bidding, Partnerships, Trick-taking","Bluffing, Card Game, Game System, Print & Play",(Uncredited),https://boardgamegeek.com/boardgame/4505/tarot
413,Chess,2,2,60,1475,Grid Movement,Abstract Strategy,(Uncredited),https://boardgamegeek.com/boardgame/171/chess
2592,Scopa,2,6,30,1600,"Hand Management, Memory, Partnerships, Set Collection","Card Game, Memory",(Uncredited),https://boardgamegeek.com/boardgame/15889/scopa
3980,Pitch,2,4,30,1600,Trick-taking,Card Game,(Uncredited),https://boardgamegeek.com/boardgame/10789/pitch
552,Cribbage,2,4,30,1630,Hand Management,Card Game,Sir John Suckling,https://boardgamegeek.com/boardgame/2398/cribbage
3764,Whist,2,4,60,1663,"Partnerships, Trick-taking",Card Game,(Uncredited),https://boardgamegeek.com/boardgame/13337/whist
2567,Hanafuda,2,7,60,1701,"Hand Management, Press Your Luck, Set Collection","Card Game, Game System",(Uncredited),https://boardgamegeek.com/boardgame/5451/hanafuda
4075,Schnapsen,2,2,20,1715,"Memory, Trick-taking",Card Game,(Uncredited),https://boardgamegeek.com/boardgame/11582/schnapsen
1726,Mus,4,4,10,1745,"Betting/Wagering, Partnerships",Card Game,(Uncredited),https://boardgamegeek.com/boardgame/6866/mus
2835,Schafkopf,4,4,30,1780,"Auction/Bidding, Partnerships, Trick-taking",Card Game,(Uncredited),https://boardgamegeek.com/boardgame/6817/schafkopf
553,Liar's Dice,2,6,30,1800,"Betting/Wagering, Dice Rolling, Player Elimination","Bluffing, Dice, Movies / TV / Radio theme, Party Game","(Uncredited), Richard Borg",https://boardgamegeek.com/boardgame/45/liars-dice
4319,Briscola,2,6,30,1800,Trick-taking,Card Game,(Uncredited),https://boardgamegeek.com/boardgame/11733/briscola
858,Poker,2,10,60,1810,"Betting/Wagering, Player Elimination, Set Collection","Bluffing, Card Game",(Uncredited),https://boardgamegeek.com/boardgame/1115/poker
1438,Skat,3,3,30,1810,"Auction/Bidding, Partnerships, Trick-taking",Card Game,(Uncredited),https://boardgamegeek.com/boardgame/6819/skat
1247,Euchre,2,7,45,1848,"Partnerships, Trick-taking",Card Game,(Uncredited),https://boardgamegeek.com/boardgame/6901/euchre
604,Mahjong,3,4,120,1850,"Hand Management, Set Collection",Abstract Strategy,(Uncredited),https://boardgamegeek.com/boardgame/2093/mahjong
1507,Hearts,3,7,30,1850,Trick-taking,"Card Game, Movies / TV / Radio theme",(Uncredited),https://boardgamegeek.com/boardgame/6887/hearts
4872,GOITA,3,4,30,1860,"Hand Management, Partnerships","Bluffing, Card Game",Seiemon Nunoura,https://boardgamegeek.com/boardgame/31821/goita
3803,Sjoelen,1,4,30,1870,none,Action / Dexterity,(Uncredited),https://boardgamegeek.com/boardgame/5071/sjoelen
70,Crokinole,2,4,30,1876,Partnerships,Action / Dexterity,(Uncredited),https://boardgamegeek.com/boardgame/521/crokinole
2370,Othello,2,2,30,1883,"Area Enclosure, Tile Placement",Abstract Strategy,"John W. Mollett, Lewis Waterman",https://boardgamegeek.com/boardgame/2389/othello
4270,42,4,4,30,1885,"Auction/Bidding, Partnerships, Trick-taking","Abstract Strategy, Card Game",W. A. Thomas,https://boardgamegeek.com/boardgame/12131/42
1730,Doppelkopf,3,6,120,1895,"Auction/Bidding, Partnerships, Trick-taking",Card Game,(Uncredited),https://boardgamegeek.com/boardgame/9364/doppelkopf
1345,Pit,3,8,90,1903,"Set Collection, Trading","Card Game, Economic, Party Game, Real-time","Edgar Cayce, Harry Gavitt, George S. Parker",https://boardgamegeek.com/boardgame/140/pit
